===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve =====
SNR_Bob = 8 dB, SNR_Eve = 10 dB | alpha1 = 0.3496, alpha2 = 0.3504, phi = 0.3000 | C_B1 = 43.75 Mbps | C_B2 = 15.34 Mbps | C_E = 26.32 Mbps | R_s1 = 1.74 | R_s2 = 0.00 | SOP1 = 0.05 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.74e-07 | eta_s2 = 2.63e-11
SNR_Bob = 8 dB, SNR_Eve = 12 dB | alpha1 = 0.3496, alpha2 = 0.3504, phi = 0.3000 | C_B1 = 43.15 Mbps | C_B2 = 15.30 Mbps | C_E = 26.33 Mbps | R_s1 = 1.68 | R_s2 = 0.00 | SOP1 = 0.06 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.68e-07 | eta_s2 = 2.53e-11
SNR_Bob = 8 dB, SNR_Eve = 14 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 42.26 Mbps | C_B2 = 15.23 Mbps | C_E = 26.32 Mbps | R_s1 = 1.59 | R_s2 = 0.00 | SOP1 = 0.09 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.59e-07 | eta_s2 = 3.03e-11
SNR_Bob = 8 dB, SNR_Eve = 16 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 40.97 Mbps | C_B2 = 15.13 Mbps | C_E = 26.32 Mbps | R_s1 = 1.46 | R_s2 = 0.00 | SOP1 = 0.15 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.46e-07 | eta_s2 = 2.89e-11
SNR_Bob = 8 dB, SNR_Eve = 18 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 39.17 Mbps | C_B2 = 14.98 Mbps | C_E = 26.33 Mbps | R_s1 = 1.28 | R_s2 = 0.00 | SOP1 = 0.26 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.28e-07 | eta_s2 = 1.73e-11
SNR_Bob = 8 dB, SNR_Eve = 20 dB | alpha1 = 0.3502, alpha2 = 0.3498, phi = 0.3000 | C_B1 = 36.79 Mbps | C_B2 = 14.75 Mbps | C_E = 26.33 Mbps | R_s1 = 1.05 | R_s2 = 0.00 | SOP1 = 0.46 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 1.05e-07 | eta_s2 = 2.15e-11
SNR_Bob = 10 dB, SNR_Eve = 0 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 50.26 Mbps | C_B2 = 20.05 Mbps | C_E = 32.06 Mbps | R_s1 = 1.82 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.82e-07 | eta_s2 = 3.98e-11
SNR_Bob = 10 dB, SNR_Eve = 2 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 50.18 Mbps | C_B2 = 20.03 Mbps | C_E = 32.08 Mbps | R_s1 = 1.81 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.81e-07 | eta_s2 = 3.38e-11
SNR_Bob = 10 dB, SNR_Eve = 4 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 50.10 Mbps | C_B2 = 20.04 Mbps | C_E = 32.06 Mbps | R_s1 = 1.80 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.80e-07 | eta_s2 = 3.70e-11
SNR_Bob = 10 dB, SNR_Eve = 6 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 49.92 Mbps | C_B2 = 20.01 Mbps | C_E = 32.07 Mbps | R_s1 = 1.79 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.79e-07 | eta_s2 = 3.21e-11
SNR_Bob = 10 dB, SNR_Eve = 8 dB | alpha1 = 0.3503, alpha2 = 0.3497, phi = 0.3000 | C_B1 = 49.69 Mbps | C_B2 = 19.99 Mbps | C_E = 32.07 Mbps | R_s1 = 1.76 | R_s2 = 0.00 | SOP1 = 0.04 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.76e-07 | eta_s2 = 3.49e-11
SNR_Bob = 10 dB, SNR_Eve = 10 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 49.31 Mbps | C_B2 = 19.97 Mbps | C_E = 32.04 Mbps | R_s1 = 1.73 | R_s2 = 0.00 | SOP1 = 0.05 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.73e-07 | eta_s2 = 3.88e-11
SNR_Bob = 10 dB, SNR_Eve = 12 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 48.75 Mbps | C_B2 = 19.93 Mbps | C_E = 32.06 Mbps | R_s1 = 1.67 | R_s2 = 0.00 | SOP1 = 0.07 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.67e-07 | eta_s2 = 3.46e-11
