
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 3.98e-17 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.111, alpha2 = 0.889 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.001
============================

SNR_Bob = 8 dB, SNR_Eve = 20 dB | C_B1 = 6.54 Mbps | C_B2 = 6.72 Mbps | C_E = 13.58 Mbps | BER_B1 = 5.0190e-01 | BER_B2 = 4.9720e-01 | BER_E = 5.0050e-01 | R_s1 = 0.42 | R_s2 = 0.13 | SOP1 = 0.36 | SOP2 = 0.78 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 0 dB | C_B1 = 9.20 Mbps | C_B2 = 9.30 Mbps | C_E = 17.42 Mbps | BER_B1 = 4.9850e-01 | BER_B2 = 5.0370e-01 | BER_E = 5.0230e-01 | R_s1 = 0.57 | R_s2 = 0.17 | SOP1 = 0.33 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 10 dB, SNR_Eve = 2 dB | C_B1 = 9.21 Mbps | C_B2 = 9.34 Mbps | C_E = 17.44 Mbps | BER_B1 = 4.8870e-01 | BER_B2 = 5.0850e-01 | BER_E = 4.9400e-01 | R_s1 = 0.58 | R_s2 = 0.17 | SOP1 = 0.33 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 4 dB | C_B1 = 9.03 Mbps | C_B2 = 9.15 Mbps | C_E = 17.45 Mbps | BER_B1 = 5.0150e-01 | BER_B2 = 5.1020e-01 | BER_E = 4.9650e-01 | R_s1 = 0.56 | R_s2 = 0.16 | SOP1 = 0.34 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 6 dB | C_B1 = 9.27 Mbps | C_B2 = 9.30 Mbps | C_E = 17.36 Mbps | BER_B1 = 5.0320e-01 | BER_B2 = 5.0540e-01 | BER_E = 5.0520e-01 | R_s1 = 0.58 | R_s2 = 0.17 | SOP1 = 0.32 | SOP2 = 0.77 | IP1 = 0.26 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 8 dB | C_B1 = 9.26 Mbps | C_B2 = 9.18 Mbps | C_E = 17.39 Mbps | BER_B1 = 4.9180e-01 | BER_B2 = 5.0380e-01 | BER_E = 5.0300e-01 | R_s1 = 0.58 | R_s2 = 0.17 | SOP1 = 0.32 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 10 dB | C_B1 = 9.12 Mbps | C_B2 = 9.27 Mbps | C_E = 17.48 Mbps | BER_B1 = 5.0490e-01 | BER_B2 = 5.0250e-01 | BER_E = 4.9190e-01 | R_s1 = 0.57 | R_s2 = 0.16 | SOP1 = 0.33 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 12 dB | C_B1 = 9.13 Mbps | C_B2 = 9.25 Mbps | C_E = 17.44 Mbps | BER_B1 = 5.0400e-01 | BER_B2 = 5.0470e-01 | BER_E = 4.9690e-01 | R_s1 = 0.57 | R_s2 = 0.17 | SOP1 = 0.33 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 14 dB | C_B1 = 9.06 Mbps | C_B2 = 9.09 Mbps | C_E = 17.41 Mbps | BER_B1 = 5.0350e-01 | BER_B2 = 5.0220e-01 | BER_E = 5.0310e-01 | R_s1 = 0.56 | R_s2 = 0.16 | SOP1 = 0.33 | SOP2 = 0.78 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 10 dB, SNR_Eve = 16 dB | C_B1 = 9.05 Mbps | C_B2 = 9.29 Mbps | C_E = 17.36 Mbps | BER_B1 = 5.1170e-01 | BER_B2 = 5.0240e-01 | BER_E = 5.0460e-01 | R_s1 = 0.56 | R_s2 = 0.17 | SOP1 = 0.33 | SOP2 = 0.77 | IP1 = 0.27 | IP2 = 0.74
